i,j,vx,vy,tipo_nodo
0,0,1.000000,0.000000,Entrada
0,1,1.000000,0.000000,Entrada
0,2,1.000000,0.000000,Entrada
0,3,1.000000,0.000000,Entrada
0,4,1.000000,0.000000,Entrada
0,5,0.000000,0.000000,Obstáculo
0,6,0.000000,0.000000,Obstáculo
0,7,0.000000,0.000000,Obstáculo
1,0,0.000000,0.000000,Pared
1,1,0.696078,0.000000,Fluido Libre
1,2,0.917758,0.000000,Fluido Libre
1,3,0.917928,0.000000,Fluido Libre
1,4,0.696445,0.000000,Fluido Libre
1,5,0.000000,0.000000,Obstáculo
1,6,0.000000,0.000000,Obstáculo
1,7,0.000000,0.000000,Obstáculo
2,0,0.000000,0.000000,Pared
2,1,0.549905,0.000000,Fluido Libre
2,2,0.809699,0.000000,Fluido Libre
2,3,0.810570,0.000000,Fluido Libre
2,4,0.551765,0.000000,Fluido Libre
2,5,0.000000,0.000000,Obstáculo
2,6,0.000000,0.000000,Obstáculo
2,7,0.000000,0.000000,Obstáculo
3,0,0.000000,0.000000,Pared
3,1,0.472321,0.000000,Fluido Libre
3,2,0.720840,0.000000,Fluido Libre
3,3,0.724488,0.000000,Fluido Libre
3,4,0.480458,0.000000,Fluido Libre
3,5,0.000000,0.000000,Obstáculo
3,6,0.000000,0.000000,Obstáculo
3,7,0.000000,0.000000,Obstáculo
4,0,0.000000,0.000000,Pared
4,1,0.430292,0.000000,Fluido Libre
4,2,0.664529,0.000000,Fluido Libre
4,3,0.678098,0.000000,Fluido Libre
4,4,0.464652,0.000000,Fluido Libre
4,5,0.000000,0.000000,Obstáculo
4,6,0.000000,0.000000,Obstáculo
4,7,0.000000,0.000000,Obstáculo
5,0,0.000000,0.000000,Pared
5,1,0.411160,0.000000,Fluido Libre
5,2,0.643035,0.000000,Fluido Libre
5,3,0.685507,0.000000,Fluido Libre
5,4,0.558085,0.000000,Fluido Libre
5,5,0.327463,0.000000,Fluido Libre
5,6,0.187288,0.000000,Fluido Libre
5,7,0.000000,0.000000,Pared
6,0,0.000000,0.000000,Pared
6,1,0.406400,0.000000,Fluido Libre
6,2,0.644507,0.000000,Fluido Libre
6,3,0.715695,0.000000,Fluido Libre
6,4,0.645061,0.000000,Fluido Libre
6,5,0.483670,0.000000,Fluido Libre
6,6,0.288726,0.000000,Fluido Libre
6,7,0.000000,0.000000,Pared
7,0,0.000000,0.000000,Pared
7,1,0.409619,0.000000,Fluido Libre
7,2,0.657589,0.000000,Fluido Libre
7,3,0.751221,0.000000,Fluido Libre
7,4,0.712645,0.000000,Fluido Libre
7,5,0.572748,0.000000,Fluido Libre
